conceptLable,parentID,conceptID
cutting tool library,,71CE7A72B6DA7
adaptive item type,71CE7A72B6DA7,71EAD37F18F34
adjustment,71CE7A72B6DA7,71ED884159C90
assembly item type,71CE7A72B6DA7,71CE7A795C05C
bolt hole circle,71CE7A72B6DA7,71E02520881F1
connection interface feature,71CE7A72B6DA7,72719B234F9E0
coolant supply,71CE7A72B6DA7,71DF8C3C065EB
cutting data association,71CE7A72B6DA7,71DF8C37D9115
cutting item feature,71CE7A72B6DA7,71DD6C82F72DA
chip breaker,71DD6C82F72DA,71DD6C870BCCA
cutting corner,71DD6C82F72DA,71DD6C87BB5E1
chamfered corner,71DD6C87BB5E1,71DD6C884C4BD
rounded corner,71DD6C87BB5E1,71DD6C8A9985E
cutting edge,71DD6C82F72DA,71DD6C8B42A9E
cutting edge condition,71DD6C8B42A9E,71DD6C8C4F46C
cutting edge interrupted,71DD6C8B42A9E,71DD6C93E8F02
cutting edge major,71DD6C8B42A9E,71DD6C9466F30
cutting edge minor,71DD6C8B42A9E,71DD6C961D7FE
wiper edge,71DD6C8B42A9E,71DD6C9A21689
cutting item coating,71DD6C82F72DA,71DD9D01038CF
cutting item material,71DD6C82F72DA,71DD703BE6B82
cutting item profile,71DD6C82F72DA,71DD70030304C
ball nosed profile,71DD70030304C,71DD700BC8BE2
drilling profile,71DD70030304C,71DD700BE1D04
grooving parting profile,71DD70030304C,71DD700BFD9B9
threading profile,71DD70030304C,71DD700C151B5
fixing hole,71DD6C82F72DA,71DD7014BF2A1
flank,71DD6C82F72DA,71DD70155A4B1
flank major,71DD70155A4B1,71DD7015F073B
flank minor,71DD70155A4B1,71DD701618C71
flank wiper edge,71DD70155A4B1,71DD70163AA42
gauge circle,71DD6C82F72DA,72550A77D9DB9
inscribed circle,71DD6C82F72DA,71DD7032B51CD
regrinding,71DD6C82F72DA,71EAC81A64368
top face,71DD6C82F72DA,726E3AB882A33
cutting item type,71CE7A72B6DA7,71D1AA6C8FC75
drilling insert,71D1AA6C8FC75,72550E1361C6C
equilateral equiangular,71D1AA6C8FC75,71D1AA486FF89
hexagonal insert,71D1AA486FF89,71DD68D7A8E5F
octagonal insert,71D1AA486FF89,71DD68D7CB4FA
pentagonal insert,71D1AA486FF89,71DD68D80B094
square insert,71D1AA486FF89,71DD68D829217
triangular insert,71D1AA486FF89,71DD68D8446CE
equilateral nonequiangular,71D1AA6C8FC75,71D1AE11B8B77
rhombic insert,71D1AE11B8B77,71DD68D301C30
trigon insert,71D1AE11B8B77,71DD68D73218C
non replaceable cutting item,71D1AA6C8FC75,7224CCDD587CF
nonequilateral equiangular,71D1AA6C8FC75,71D1AE120D96E
rectangular insert,71D1AE120D96E,71DD68D91938A
nonequilateral nonequiangular,71D1AA6C8FC75,71D1AA489FD6E
parallelogram insert,71D1AA489FD6E,71DD68D966F52
reaming insert,71D1AA6C8FC75,726E3AAC68D91
round insert,71D1AA6C8FC75,71D1AA6635E76
specific profile insert,71D1AA6C8FC75,71DDA089C8D1E
cutting operation,71CE7A72B6DA7,71DFF83D21D50
cutting tool,71CE7A72B6DA7,71CE7A7A5038B
dependency,71CE7A72B6DA7,727CE22063F8E
flange,71CE7A72B6DA7,71EC5A767182E
keyway,71CE7A72B6DA7,71DF5C026BCE7
locking mechanism,71CE7A72B6DA7,71EBAB85BB5FA
reference system,71CE7A72B6DA7,71CF2968F7A9E
runout axial,71CE7A72B6DA7,71EDD2B84143C
runout radial,71CE7A72B6DA7,71EDD2B858274
tool item feature,71CE7A72B6DA7,71DD70376771D
tool item type,71CE7A72B6DA7,71E01A004C775
tool thread external,71CE7A72B6DA7,71FC1D22BF4CD
tool thread internal,71CE7A72B6DA7,71FC1D25097D7
